naptanID,commonName
940GZZLUBST,Baker Street Underground Station
940GZZLUCHX,Charing Cross Underground Station
940GZZLUEAC,Elephant & Castle Underground Station
940GZZLUEMB,Embankment Underground Station
940GZZLUERB,Edgware Road (Bakerloo) Underground Station
940GZZLUHAW,Harrow & Wealdstone Underground Station
940GZZLUHSN,Harlesden Underground Station
940GZZLUKEN,Kenton Underground Station
940GZZLUKPK,Kilburn Park Underground Station
940GZZLUKSL,Kensal Green Underground Station
940GZZLULBN,Lambeth North Underground Station
940GZZLUMVL,Maida Vale Underground Station
940GZZLUMYB,Marylebone Underground Station
940GZZLUNWY,North Wembley Underground Station
940GZZLUOXC,Oxford Circus Underground Station
940GZZLUPAC,Paddington Underground Station
940GZZLUPCC,Piccadilly Circus Underground Station
940GZZLUQPS,Queen's Park Underground Station
940GZZLURGP,Regent's Park Underground Station
940GZZLUSGP,Stonebridge Park Underground Station
940GZZLUSKT,South Kenton Underground Station
940GZZLUWJN,Willesden Junction Underground Station
940GZZLUWKA,Warwick Avenue Underground Station
940GZZLUWLO,Waterloo Underground Station
940GZZLUWYC,Wembley Central Underground Station
940GZZLUBKE,Barkingside Underground Station
940GZZLUBKH,Buckhurst Hill Underground Station
940GZZLUBLG,Bethnal Green Underground Station
940GZZLUBND,Bond Street Underground Station
940GZZLUBNK,Bank Underground Station
940GZZLUCHL,Chancery Lane Underground Station
940GZZLUCWL,Chigwell Underground Station
940GZZLUDBN,Debden Underground Station
940GZZLUEAN,East Acton Underground Station
940GZZLUEBY,Ealing Broadway Underground Station
940GZZLUEPG,Epping Underground Station
940GZZLUFLP,Fairlop Underground Station
940GZZLUGFD,Greenford Underground Station
940GZZLUGGH,Grange Hill Underground Station
940GZZLUGTH,Gants Hill Underground Station
940GZZLUHBN,Holborn Underground Station
940GZZLUHGR,Hanger Lane Underground Station
940GZZLUHLT,Hainault Underground Station
940GZZLUHPK,Holland Park Underground Station
940GZZLULGN,Loughton Underground Station
940GZZLULGT,Lancaster Gate Underground Station
940GZZLULVT,Liverpool Street Underground Station
940GZZLULYN,Leyton Underground Station
940GZZLULYS,Leytonstone Underground Station
940GZZLUMBA,Marble Arch Underground Station
940GZZLUMED,Mile End Underground Station
940GZZLUNAN,North Acton Underground Station
940GZZLUNBP,Newbury Park Underground Station
940GZZLUNHG,Notting Hill Gate Underground Station
940GZZLUNHT,Northolt Underground Station
940GZZLUPVL,Perivale Underground Station
940GZZLUQWY,Queensway Underground Station
940GZZLURBG,Redbridge Underground Station
940GZZLURSG,Ruislip Gardens Underground Station
940GZZLURVY,Roding Valley Underground Station
940GZZLUSBC,Shepherd's Bush (Central) Underground Station
940GZZLUSNB,Snaresbrook Underground Station
940GZZLUSPU,St. Paul's Underground Station
940GZZLUSRP,South Ruislip Underground Station
940GZZLUSTD,Stratford Underground Station
